id;codice;denominazione;abilitato;created_by
1;COMMITTENTE;COMMITTENTE;;admin
2;PROPONENTE;PROPONENTE;;admin
3;ACQUIRENTE_CONDUTTORE;ACQUIRENTE_CONDUTTORE;;admin
4;SEGNALATORE;SEGNALATORE;;admin
